Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
3,1,2,3.057589218768472,6.612065787176056,1.2580711563960154,26.11288426144765,2.8490892724822405,6.464980067606316,1.584129088699119,3.9348971019027896,2.1095019832900843,1.9035303634887022
4,1,2,1.3691013303887059,6.006572376506765,3.834205214773545,4.598870918927311,3.2139631118550733,3.265137157544969,2.7229896448711983,2.117130428386234,4.116967508568082,8.063384578741802
5,1,2,1.2003137175974619,1.1078993097586056,1.294163648376476,1.6363757231087355,3.588280066392942,2.366349082757716,1.5103183994278588,1.5394153725387083,3.835302803564679,4.362748912306209
7,2,0,1.2684545866306303,1.8521578213868806,3.34140007198592,9.16893527655496,3.3240529187870647,3.851899120551121,1.6950476485726633,3.280501139919376,3.0927049568975606,4.061359961538981
8,2,0,1.3902978912851764,1.355919389655049,1.4898362208676756,1.8099176814478066,3.9174800108232968,2.6399679059624237,1.6443900122157424,1.8628979906478849,2.9935477242166324,6.1589732639488055
9,2,0,1.3272849543237861,1.704701324480205,1.5404291310830283,5.342186089691522,4.081273531408573,4.25602711668907,1.6101594437095228,1.6191280841543219,2.9780391278951823,1.881382255419568
10,2,1,1.4287130805072465,1.6128150023907069,1.6221870796458193,1.5516733489419672,3.9849386990955864,3.6488364500507355,1.5004894747202537,1.7154735135487698,2.3721816801274156,5.928277325357597
15,1,3,2.8637841002591413,3.5131066532797735,2.3689719633712305,7.913883517393178,2.891121562333639,3.86376582172083,1.7242022658679945,4.22635509516904,2.5845489755421447,2.055680304807334
16,1,3,1.5822052061553902,2.604662354180989,2.9838351572244526,7.3088160728428715,3.708098288011524,5.017518410525455,2.3081123700693933,1.6677576488867736,2.607347604601435,1.9666428900093105
17,1,3,1.5202507155303961,1.6023756075919593,2.846888447666757,1.2827988645360877,3.409429056220782,2.0030910365101318,1.9295879633252522,1.6061103418581613,3.8735195155346167,2.1927047376705793
18,1,0,145.84010532884471,3.8709399615521867,5.909723672132282,7.306804981515562,639.2986787656339,6.598465949114594,1.662758526569514,2.180705945228611,1.9907445986352545,1.752952960422654
19,2,1,1.4881678205027453,2.547100653678901,2.140834024253185,2.3343747465905373,3.0207839116612876,2.0449243549874585,1.9663805595007686,2.697669888823419,2.222427132254167,6.366703615307483
20,2,1,1.1152588847045144,1.2567611156627696,1.556741415764392,2.48467038014017,3.0146697859866567,2.5398244362313838,1.6534745206389714,1.6060317992624373,2.433846072850806,4.22746107349536
21,2,2,1.3226794683941216,1.3060303048091266,1.4792158158618212,1.3972914226013047,3.0843847895448584,2.534982881111027,1.5820226724419244,1.805165544911858,2.3261522934808383,4.367452118541262
22,6,0,1.3672532103680755,1.2406056838704327,4.116395704027913,1.611477664621175,3.6867269712843425,2.823638271691576,1.8271291396970852,1.7460433877058013,2.4320395743115046,4.517687475237644
27,1,0,9.123540234572465,13.355790820533118,7.371506941269843,27.442297901454424,14.090401475560313,30.70829192514559,3.9984155555044203,3.309124571247016,5.383158513933385,2.0508862705328954
28,1,0,132.40893653502982,2.82616110731946,5.941143766176857,1.6601709356698253,600.7696325968628,2.6959224805214657,2.5685489288661603,2.3193528129822703,3.997192830666002,7.978676190667336
29,1,1,2.1410140632695276,3.4897074705833155,11.555014231553226,19.118501214935222,2.366953957599066,4.997280418792691,2.3889475552289863,2.425736933959101,5.3761592849559445,1.8819084813012363
