,0
JD,2459947
Date,1-2-2023
LST Range,1.349 -- 11.301 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1849
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 94 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,65 / 201 (32.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,118 / 201 (58.7%)
Redcal Done?,N
Never Flagged Antennas,83 / 201 (41.3%)
A Priori Good Antennas Flagged,"52 / 94 total a priori good antennas: 3, 5, 7, 9, 15, 16, 17, 19, 20, 21, 29, 30, 31, 40, 42, 54, 55, 56, 67, 71, 72, 81, 86, 94, 98, 99, 100, 101, 103, 109, 111, 116, 121, 122, 123, 128, 129, 130, 136, 143, 146, 149, 161, 165, 170, 182, 183, 185, 187, 189, 191, 202"
A Priori Bad Antennas Not Flagged,"41 / 107 total a priori bad antennas: 4, 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 82, 89, 90, 95, 114, 115, 125, 132, 135, 137, 139, 179, 205, 206, 207, 211, 220, 222, 223, 229, 237, 238, 239, 245, 261, 324, 325, 333"
