,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,0.0,0.0,11.998494324050483,-0.11747380192653961,9.183701350825519,0.34387550449425014,7.09030851838282,0.5404840179926882,0.8344509457113516,2.517413312054762,0.038360873593054436,0.6640761426574155,0.49064546791665214
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,0.0,0.0,0.0,0.9187986585006431,0.9050106596885636,1.6495365953496237,0.3564278655826428,1.1851861348050812,2.10069034145962,37.84040332807715,75.98086475090888,0.6651083357178721,0.6625115247406028,0.4072739370374088
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.6343069606472296,0.21451902940946665,-0.3318836109026976,-0.37813418570114415,0.2574155487930386,2.276302964153634,2.2247728393831885,-0.20086951064355799,0.6623909560289508,0.6646707898714512,0.4062294151360825
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,1.0,1.0,0.0,296.2514420411392,296.45837229729807,inf,inf,3405.101391978478,3379.7368738518708,6669.603890980715,6576.143537108443,,,
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,1.0,1.0,0.0,292.8543384441341,292.9001717507571,inf,inf,4470.162558845527,4469.180072283634,10956.54826342546,10952.89770550742,,,
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,0.0,0.693347755543537,0.693347755543537,0.0,-0.08491377117768753,-0.38805272439541794,-1.1485157317693597,-0.7063489189011608,0.07483147890985228,1.0161954340409598,1.476319363286868,0.4573602343049729,0.21320067252606323,0.21360728987172511,0.1229640284880535
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,0.0,0.0,0.0,-0.2646908081047272,0.18937805157704732,2.113046081805653,1.950832890827635,-0.7347467253455742,-0.11565544302162563,0.8783999152064156,13.56140734028374,0.653904392962442,0.6630680582032493,0.407107699598228
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,0.0,0.0,0.0,0.0,-1.4020454945127212,-1.3690380845657686,-0.591489309979989,0.19009113023950658,2.177794224046675,2.5604275036344397,1.4289594947335846,2.800830740368595,0.6707956261649156,0.6703106462820655,0.4083635292968806
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,-0.29496409802274715,1.0733781847572936,-0.18282787150278573,-0.1414827095285825,0.6788044732765198,1.1495005849131121,2.7355874828343194,1.478633378475816,0.6623556020020235,0.6706077413252804,0.41043183575205666
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,0.0,0.0,0.0,2.359442687511387,21.2295437065615,-0.6148206599173656,0.13295361738953332,1.4144326121067479,4.37909652283172,17.979902809934377,31.91397464715796,0.6478013969763418,0.43932445927349095,0.48683032213015764
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,0.693347755543537,0.693347755543537,0.0,0.21380184278541575,-1.3222922598531186,0.6930544688555746,1.032180322586358,-0.006893335492722398,1.0525102479433577,6.8366103502871285,5.885547161618012,0.2168948769169831,0.22465122299580673,0.12033628903727916
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,0.0,0.693347755543537,0.693347755543537,0.0,-1.097375993601919,-1.0407352397173386,3.242976509126966,-1.6262457789013967,0.27073557145043897,0.15330460071306184,0.7604677363500055,-0.6642248325054996,0.214018094021248,0.2246773223639435,0.12562227898462752
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,1.0,0.693347755543537,0.693347755543537,0.0,0.08037705035630029,-0.11453107576434805,-0.4038309874767469,3.9664926823741995,1.910125337534687,-0.5242567165479741,0.5577192302826283,0.04285850291040794,0.21468955409707083,0.20769541134410044,0.12475233270761446
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_22_report.html"" target=""_blank"">22</a>",N06,not_connected,0.0,0.0,0.0,0.0,-1.1618588596204906,-0.646120403190679,-0.10847406541902344,-0.47693572719443494,3.4090723459890286,3.386760663122784,-0.4467831827063063,-0.9213245802458276,0.6174471594651172,0.6365505169344613,0.4099710833019515
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,1.0,0.0,11.825633250637129,13.027312416901973,9.208897102555106,9.717516561885189,7.278014456603253,7.2890470510334335,2.569880104612065,1.954607962098022,0.03658234617958187,0.04112638024473021,0.004841209414364272
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,1.0,0.0,0.8685776095186587,0.0,14.46342986354518,28.611026803162066,1.0914871343326822,0.7873734634709476,2.390865922091376,6.189787379869358,3.914020701081095,19.716741908663966,0.3470460404447151,0.15014562913056057,0.24592578840631163
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_29_report.html"" target=""_blank"">29</a>",N01,digital_ok,1.0,0.0,1.0,0.0,-1.3227638653984766,13.63412251370916,-0.2887538625924985,9.333947838029351,0.6844479591678936,7.275300371617172,-0.35760046367015924,0.3172173335302268,0.6686177779588093,0.04082064436553444,0.5092751799133735
18,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_30_report.html"" target=""_blank"">30</a>",N01,digital_ok,1.0,0.0,0.0,0.0,-0.8526656109904351,-0.10854073645984937,-0.8582374777206743,0.21693997832191222,1.9137900936201788,0.14472890600787533,7.368159118860902,0.019241218015924294,0.6645587133685584,0.6750241382557366,0.40408578875693785
19,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_31_report.html"" target=""_blank"">31</a>",N02,digital_ok,0.0,0.693347755543537,0.693347755543537,0.0,0.24598640370081773,-1.3179043679480047,0.8603515302710733,1.0707680751718776,2.6921775731090993,1.2985708370283742,1.888302751098834,0.905473659648572,0.22662662997996563,0.22647205622729094,0.11748774814573858
20,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_32_report.html"" target=""_blank"">32</a>",N02,RF_maintenance,1.0,0.693347755543537,0.693347755543537,0.0,11.019160246776165,25.33066545986163,-0.06066557115598731,2.041718178888646,8.183457480366451,4.157505530644182,4.202443899454659,7.291084466697421,0.21823941209050668,0.19398207037148635,0.11086497140689297
