,0
JD,2459915
Date,12-1-2022
LST Range,0.195 -- 10.152 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,200
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 dish_ok: 1 RF_maintenance: 49 RF_ok: 15 digital_maintenance: 3 digital_ok: 105 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 200 (0.0%)
Antennas in Commanded State (observed),0 / 200 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,64 / 200 (32.0%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,120 / 200 (60.0%)
Redcal Done?,N
Never Flagged Antennas,77 / 200 (38.5%)
A Priori Good Antennas Flagged,"59 / 105 total a priori good antennas: 3, 7, 9, 10, 15, 16, 17, 19, 21, 29, 30, 42, 45, 51, 53, 54, 55, 56, 66, 68, 71, 81, 86, 93, 94, 101, 103, 106, 109, 111, 121, 122, 123, 128, 136, 142, 143, 146, 147, 148, 149, 151, 153, 157, 158, 161, 164, 165, 169, 170, 173, 182, 183, 185, 187, 189, 191, 192, 193"
A Priori Bad Antennas Not Flagged,"31 / 95 total a priori bad antennas: 8, 22, 43, 46, 48, 61, 62, 64, 73, 74, 77, 79, 82, 89, 90, 95, 114, 115, 119, 120, 125, 137, 138, 139, 205, 206, 220, 221, 238, 324, 325"
