,0
JD,2459927
Date,12-13-2022
LST Range,9.188 -- 9.987 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,149
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 94 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,59 / 201 (29.4%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,131 / 201 (65.2%)
Redcal Done?,N
Never Flagged Antennas,70 / 201 (34.8%)
A Priori Good Antennas Flagged,"57 / 94 total a priori good antennas: 3, 7, 9, 10, 15, 16, 19, 21, 29, 37, 38, 40, 42, 53, 54, 55, 56, 65, 70, 71, 72, 81, 86, 93, 94, 98, 100, 101, 103, 106, 109, 111, 121, 122, 123, 128, 129, 130, 136, 140, 143, 144, 146, 147, 158, 161, 164, 165, 169, 170, 182, 183, 185, 187, 189, 191, 202"
A Priori Bad Antennas Not Flagged,"33 / 107 total a priori bad antennas: 4, 8, 35, 43, 46, 48, 62, 77, 79, 82, 89, 90, 95, 115, 120, 125, 132, 137, 139, 166, 179, 205, 206, 207, 220, 221, 222, 237, 238, 239, 324, 325, 333"
