,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
104,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_161_report.html"" target=""_blank"">161</a>",N13,digital_ok,1.0,1.0,0.0,-0.25998167772577724,38.781676784579716,-0.5511532098735126,2.8527296084292826,-1.0207493437396573,5.048968340737955,0.40000635853387373,0.03247707866693429,5.962441086769104,7.153352737426758
105,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_162_report.html"" target=""_blank"">162</a>",N13,digital_ok,0.0,0.0,0.019230769230769232,1.4196709040836306,0.593834467726628,-0.9048717130994158,-0.7211162924219261,0.6898432643844276,0.05345017305949217,1.618092749538981,2.008702361460937,0.017335786949843168,0.014145832508802414
106,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_163_report.html"" target=""_blank"">163</a>",N14,digital_ok,1.0,1.0,0.0,0.5964056674611978,-0.47333415722827504,0.15212642751046213,-0.5312613406886658,0.8265714584013297,2.250334166701208,4.494331983572239,6.96880778388803,5.206269860267639,5.79811704158783
107,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_164_report.html"" target=""_blank"">164</a>",N14,digital_ok,1.0,1.0,0.0,-1.737119681624952,-1.204536395392681,-0.7532703211909645,-0.2898305054473129,5.374617417441094,5.647877729819663,19.343148895194787,10.423201098974012,3.9753169417381287,4.742727637290955
108,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_165_report.html"" target=""_blank"">165</a>",N14,digital_ok,1.0,1.0,0.0,-0.04396132191671378,0.6138068805037704,6.429785943479828,-0.9278442137846973,2.440199658740895,1.632128985457151,3.4291898606370417,3.0906607625653817,2.8717379570007324,3.5447275638580322
109,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_166_report.html"" target=""_blank"">166</a>",N14,RF_maintenance,1.0,1.0,0.0,16.985294374282358,6.077600945287372,1.0328542065897075,1.377538485088757,4.250592276145646,15.493779576377438,5.7555525262014315,6.765106662311022,0.0,0.0
110,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_167_report.html"" target=""_blank"">167</a>",N15,digital_ok,1.0,1.0,0.0,52.512585212768414,21.700952952318527,19.73031022815457,24.288381615954762,15.509459264842864,19.989231887478226,15.627162321065642,13.86270256086072,0.0,0.0
111,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_168_report.html"" target=""_blank"">168</a>",N15,RF_maintenance,1.0,1.0,0.0,6.071890043912357,7.9781730060545435,22.93923915650931,26.854521850343712,8.355244989725312,16.257870843500612,5.144247422310937,3.912727622215121,0.0,0.0
112,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_169_report.html"" target=""_blank"">169</a>",N15,digital_ok,1.0,1.0,0.0,9.001423476534441,6.035743582142617,26.322824681259473,25.080895390193586,11.570551152215357,16.042175407983,7.589871812221626,7.718287646857683,0.0,0.0
113,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_170_report.html"" target=""_blank"">170</a>",N15,digital_ok,1.0,1.0,0.0,8.14909667414878,4.172146837340178,26.640928287943904,23.507634056914686,11.759228304535062,14.076099660403464,8.446334707579819,8.404507895316504,0.0,0.0
114,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_176_report.html"" target=""_blank"">176</a>",N12,digital_ok,0.0,1.0,0.0,1.12520514671778,-0.06364562149210994,-0.9067069626285494,0.0955735099297701,-0.9802056167819643,1.0641474952333434,-0.19167700827833628,0.08734493606661807,5.631150245666504,12.254944562911987
115,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_177_report.html"" target=""_blank"">177</a>",N12,digital_ok,1.0,1.0,0.0,0.9800795852029529,1.593767490479656,0.568244840105657,1.3876517057310216,-0.21197810167573053,2.719225182665893,0.2679991805714714,4.443762762864448,5.955258250236511,14.124060153961182
116,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_178_report.html"" target=""_blank"">178</a>",N12,digital_ok,0.0,1.0,0.0,-0.8585929567258719,-0.6966070500793553,0.621518413214138,-0.6197947331695557,-1.3473677584589492,-1.0327526684519412,0.013007585230015177,-0.6133732838184577,1.0074385106563568,1.0115525424480438
117,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_179_report.html"" target=""_blank"">179</a>",N12,digital_ok,1.0,1.0,0.0,0.48577118203651143,0.8645059275417525,-0.5551552656404801,0.3485501397554845,5.114375739335016,-1.1320968372291818,8.157281954853824,-0.5989494123990796,0.9638603776693344,0.9544342160224915
118,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_180_report.html"" target=""_blank"">180</a>",N13,RF_maintenance,1.0,1.0,0.0,0.5722020859875373,16.57152825747514,-0.4445070226379779,25.55368821582732,0.048311874618368764,16.516003444500527,0.10999222940673654,2.3518721238327465,13.666613578796387,3.0918166041374207
119,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_181_report.html"" target=""_blank"">181</a>",N13,digital_ok,1.0,1.0,0.0,16.56885002443096,59.606337623164016,25.764611733582914,9.5098381271337,10.79593502772856,17.610964202175502,2.627273513023155,5.044602349261209,1.1703762710094452,1.7876140177249908
120,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_182_report.html"" target=""_blank"">182</a>",N13,RF_maintenance,1.0,1.0,0.0,5.784973906894025,1.6662562619561174,23.274729514029456,7.098508139581068,4.125274802129671,7.511980010888688,-2.3274068189437154,36.311558307845864,8.326854467391968,7.890836119651794
121,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_183_report.html"" target=""_blank"">183</a>",N13,digital_ok,1.0,1.0,0.0,,,inf,inf,,,,,0.0,0.0
122,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_184_report.html"" target=""_blank"">184</a>",N14,digital_ok,1.0,1.0,0.0,0.13104225120684584,-0.41558868839255436,0.7470689572651589,0.719033093620043,4.702923748353249,4.225746785128449,6.845240107080139,5.561030943782037,4.519023299217224,5.195528984069824
