,0
JD,2459839
Date,9-16-2022
LST Range,19.211 -- 21.211 hours
X-Engine Status,N N N N N N N N 
Number of Files,372
Total Number of Antennas,146
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 dish_ok: 1 RF_maintenance: 33 RF_ok: 10 digital_maintenance: 3 digital_ok: 93 not_connected: 3
Commanded Signal Source,
Antennas in Commanded State,0 / 146 (0.0%)
Total Number of Nodes,14
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,N
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,0 / 146 (0.0%)
Redcal Done?,N
Never Flagged Antennas,146 / 146 (100.0%)
A Priori Good Antennas Flagged,0 / 93 total a priori good antennas: 
A Priori Bad Antennas Not Flagged,"53 / 53 total a priori bad antennas: 4, 8, 18, 27, 28, 32, 33, 36, 50, 52, 57, 70, 82, 87, 89, 90, 92, 102, 104, 110, 119, 120, 125, 126, 135, 136, 137, 138, 145, 150, 155, 166, 168, 180, 182, 205, 206, 207, 223, 224, 225, 226, 240, 241, 242, 243, 320, 321, 323, 324, 325, 329, 333"
