,Ant,Node,A Priori Status,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7331001479738258,0.7399969608225415,0.390399512771247
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.750355430830117,0.7383843450624459,0.3901106397166134
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7495565134538504,0.74806729442274,0.386865519192601
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.743768525069987,0.7423290542812546,0.39379131470726086
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,0.0,0.0,0.0,0.7489962403404961,0.7346248084617386,0.40003047145022325
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7394892972403475,0.736602651697344,0.40256476678909203
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7479923239824203,0.7510330676000624,0.38178764318580666
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.75695269981162,0.754337378713225,0.3808516699002555
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7504201542760627,0.7524449079140356,0.37386556193812104
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,0.006550218340611353,0.14847161572052403,0.0,0.7060950256120938,0.5332287965822854,0.42888055232025396
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,0.012008733624454149,0.006550218340611353,0.0,0.7224549147499207,0.7386461552898888,0.4028025619818334
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_22_report.html"" target=""_blank"">22</a>",N06,not_connected,0.07205240174672489,0.006550218340611353,0.0,0.5509608373363835,0.7027982115046068,0.3274139347242133
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,0.0,0.0337877449773634,0.040128013606394494,0.0038815306060250923
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,0.388646288209607,0.9290393013100436,0.0,0.4397729415890629,0.2103893327157472,0.26718999324073833
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_29_report.html"" target=""_blank"">29</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7568016511182633,0.7601810961786684,0.3716434913816715
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_30_report.html"" target=""_blank"">30</a>",N01,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7438104861364727,0.7608380974966271,0.376290107276088
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_31_report.html"" target=""_blank"">31</a>",N02,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7656140138644728,0.7576476144050758,0.38896203782959143
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_32_report.html"" target=""_blank"">32</a>",N02,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.6505707642089195,0.7463640075637652,0.3497950277184056
18,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_33_report.html"" target=""_blank"">33</a>",N02,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7416968600153014,0.5842240468008333,0.46852853431934843
19,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_34_report.html"" target=""_blank"">34</a>",N06,not_connected,1.0,0.006550218340611353,0.0,0.04259239911053866,0.7389214814993277,0.5775048248401244
20,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_35_report.html"" target=""_blank"">35</a>",N06,not_connected,0.012008733624454149,0.006550218340611353,0.0,0.6745105958179537,0.7334991806572465,0.4300209245964588
21,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_36_report.html"" target=""_blank"">36</a>",N03,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7471308393088352,0.7523588625875768,0.3950414997487843
22,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_37_report.html"" target=""_blank"">37</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7531215220780307,0.7596524074535284,0.3881942340200045
23,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_38_report.html"" target=""_blank"">38</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7569247265903755,0.7634567288122278,0.3858739122186722
24,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_40_report.html"" target=""_blank"">40</a>",N04,digital_ok,0.0,0.0,0.0,0.7550147885694194,0.7641703798662293,0.3827779819016217
25,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_41_report.html"" target=""_blank"">41</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7596331579684519,0.7572038005039705,0.37097874359169175
26,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_42_report.html"" target=""_blank"">42</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7676543232236573,0.7569238848964128,0.38354786799114476
27,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_44_report.html"" target=""_blank"">44</a>",N05,digital_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7558090729109944,0.7646958706840351,0.36707454103376996
28,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_45_report.html"" target=""_blank"">45</a>",N05,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7567860977926217,0.7606366489390597,0.38076979623324664
29,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_46_report.html"" target=""_blank"">46</a>",N05,digital_ok,0.006550218340611353,1.0,0.0,0.7552943683059735,0.03937608360914747,0.5958511596577664
30,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_47_report.html"" target=""_blank"">47</a>",N06,not_connected,0.0,0.0,0.0,0.74744235288063,0.7535012874965334,0.39512049580094266
31,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_48_report.html"" target=""_blank"">48</a>",N06,not_connected,0.006550218340611353,0.006550218340611353,0.0,0.7234073205212028,0.7303585415294739,0.4032495607514422
32,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_49_report.html"" target=""_blank"">49</a>",N06,not_connected,0.0,0.0,0.0,0.7275193668106714,0.7259996655256878,0.4059248937332848
33,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_50_report.html"" target=""_blank"">50</a>",N03,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7433640244661263,0.6937417202714989,0.3637276284080457
34,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_51_report.html"" target=""_blank"">51</a>",N03,digital_ok,1.0,0.006550218340611353,0.0,0.04267398065110801,0.7607643162347426,0.5031735009142908
35,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_52_report.html"" target=""_blank"">52</a>",N03,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7541664508457205,0.7661494660953169,0.3770522917507189
36,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_53_report.html"" target=""_blank"">53</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7592106454001186,0.7682408765811499,0.38059987495907993
37,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_54_report.html"" target=""_blank"">54</a>",N04,digital_ok,1.0,0.006550218340611353,0.0,0.05205868588169524,0.762483562609699,0.6212233273374929
38,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_55_report.html"" target=""_blank"">55</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7490946439306428,0.7557751471135556,0.36695125538226464
39,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_56_report.html"" target=""_blank"">56</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7578631389299496,0.7689877222504808,0.3709799692343327
40,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_57_report.html"" target=""_blank"">57</a>",N04,RF_maintenance,0.012008733624454149,0.006550218340611353,0.0,0.5965550790458336,0.7702243906626995,0.37247937317777013
41,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_58_report.html"" target=""_blank"">58</a>",N05,digital_maintenance,1.0,1.0,0.0,0.04571720108023127,0.04098314256781117,0.0049426708039956675
42,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_59_report.html"" target=""_blank"">59</a>",N05,digital_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7635330444011786,0.7335527490055681,0.3715112611123374
43,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_61_report.html"" target=""_blank"">61</a>",N06,not_connected,0.0,0.0,0.0,0.7545800299141221,0.7538309370880897,0.38557010512268974
44,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_62_report.html"" target=""_blank"">62</a>",N06,not_connected,0.006550218340611353,0.006550218340611353,0.0,0.7384887511899302,0.7386023892863305,0.3919400820354164
45,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_63_report.html"" target=""_blank"">63</a>",N06,not_connected,0.012008733624454149,1.0,0.0,0.6960902308112573,0.05524436762400789,0.6217560716361036
46,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_64_report.html"" target=""_blank"">64</a>",N06,not_connected,0.0,0.0,0.0,0.6976672947275421,0.7077568563153546,0.41366106888185666
47,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_65_report.html"" target=""_blank"">65</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7401091012216975,0.7506034846137949,0.39292541221367927
48,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_66_report.html"" target=""_blank"">66</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7489794109994005,0.7575660628593042,0.3819659171783559
49,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_67_report.html"" target=""_blank"">67</a>",N03,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7490946550409486,0.7600412290950367,0.373552236729363
50,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_68_report.html"" target=""_blank"">68</a>",N03,digital_ok,0.006550218340611353,1.0,0.0,0.7437441618547191,0.03103926232850451,0.4697270223725612
51,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_69_report.html"" target=""_blank"">69</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7505039319036602,0.763712555417128,0.3760052068900947
52,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_70_report.html"" target=""_blank"">70</a>",N04,RF_maintenance,0.0,0.0,0.0,0.7732707438920643,0.7720742681045168,0.3782939033873269
53,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_71_report.html"" target=""_blank"">71</a>",N04,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7535215348253161,0.7664987236619015,0.380821986332275
54,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_72_report.html"" target=""_blank"">72</a>",N04,digital_ok,0.0,0.0,0.0,0.7550328651731385,0.769114757452113,0.3752263559737097
55,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_73_report.html"" target=""_blank"">73</a>",N05,digital_ok,1.0,0.006550218340611353,0.0,0.035640641674195575,0.7484510836626869,0.5403525869569441
56,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_75_report.html"" target=""_blank"">75</a>",N05,digital_maintenance,0.006550218340611353,1.0,0.0,0.7176946059191358,0.05436150571098725,0.5758276320094025
57,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_77_report.html"" target=""_blank"">77</a>",N06,not_connected,0.012008733624454149,0.006550218340611353,0.0,0.6212758479477459,0.6149050879803172,0.2087631316977179
58,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_78_report.html"" target=""_blank"">78</a>",N06,not_connected,0.017467248908296942,0.006550218340611353,0.0,0.6003941756930083,0.719589759274249,0.3708875119431802
59,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_81_report.html"" target=""_blank"">81</a>",N07,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7258150721021541,0.7387145240310038,0.3938303134635536
60,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_82_report.html"" target=""_blank"">82</a>",N07,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7152426104212851,0.7400965977721017,0.38921824289445806
61,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_83_report.html"" target=""_blank"">83</a>",N07,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7444170956686136,0.754261670925607,0.3732180414247211
62,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_92_report.html"" target=""_blank"">92</a>",N10,RF_maintenance,0.759825327510917,0.8253275109170306,0.0,0.37156281233096755,0.32708866577006745,0.1324157682894376
63,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_93_report.html"" target=""_blank"">93</a>",N10,digital_ok,0.08842794759825327,0.006550218340611353,0.0,0.5491109841937923,0.7531586468368133,0.43873944711746005
64,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_94_report.html"" target=""_blank"">94</a>",N10,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7508216597587053,0.7491347302204939,0.391065296962061
65,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_98_report.html"" target=""_blank"">98</a>",N07,digital_ok,0.012008733624454149,0.006550218340611353,0.0,0.7120732378663357,0.7063847035690515,0.3836316675156544
66,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_99_report.html"" target=""_blank"">99</a>",N07,digital_ok,0.0,0.0,0.0,0.7383244307487674,0.7403543633517892,0.3838848882027019
67,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_100_report.html"" target=""_blank"">100</a>",N07,digital_ok,0.0,0.0,0.0,0.7480996211000607,0.7482380434922024,0.38026246867903135
68,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_109_report.html"" target=""_blank"">109</a>",N10,digital_ok,0.006550218340611353,1.0,0.0,0.7620693961762651,0.039745230785156925,0.5115326629301944
69,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_110_report.html"" target=""_blank"">110</a>",N10,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.6701263696428081,0.6412226677923308,0.22641324032878235
70,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_111_report.html"" target=""_blank"">111</a>",N10,digital_ok,0.006550218340611353,0.9836244541484717,0.0,0.753215278071425,0.1019781758293979,0.5313631377982145
71,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_112_report.html"" target=""_blank"">112</a>",N10,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7327074873552896,0.7442227016576088,0.4019050205091824
72,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_116_report.html"" target=""_blank"">116</a>",N07,digital_ok,0.012008733624454149,0.012008733624454149,0.9552401746724891,0.3730261385597398,0.332030399808305,-0.25774000674740005
73,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_117_report.html"" target=""_blank"">117</a>",N07,digital_ok,1.0,0.9945414847161572,0.0,0.028692930082517,0.09280933371825137,0.051130022534937765
74,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_118_report.html"" target=""_blank"">118</a>",N07,digital_ok,1.0,1.0,0.0,0.030063255675582167,0.03632857589129836,0.005588646571074658
75,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_119_report.html"" target=""_blank"">119</a>",N07,RF_maintenance,0.006550218340611353,0.006550218340611353,0.0,0.7508144084881602,0.741381576714881,0.38072345986970924
76,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_127_report.html"" target=""_blank"">127</a>",N10,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7594859395305118,0.7546827576412761,0.38433051480091135
77,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_128_report.html"" target=""_blank"">128</a>",N10,digital_ok,0.006550218340611353,0.006550218340611353,0.0,0.7588952506690062,0.7499342811277242,0.3808370210596975
78,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_135_report.html"" target=""_blank"">135</a>",N12,digital_maintenance,0.012008733624454149,0.006550218340611353,0.0,0.7089598253661681,0.7147795964755697,0.40146433157784933
79,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_136_report.html"" target=""_blank"">136</a>",N12,digital_maintenance,0.012008733624454149,0.006550218340611353,0.0,0.7148201232386109,0.7081791418766157,0.38632047298877553
80,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_137_report.html"" target=""_blank"">137</a>",N07,RF_maintenance,0.0,0.0,0.0,0.7406619161642991,0.7430538557528467,0.3973525503761419
81,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_138_report.html"" target=""_blank"">138</a>",N07,RF_maintenance,0.012008733624454149,0.006550218340611353,0.0,0.7388434944381276,0.7374785792829138,0.3986675871426826
82,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_140_report.html"" target=""_blank"">140</a>",N13,digital_ok,1.0,1.0,0.0,0.0375427628949033,0.03808407227640133,0.00232283385108408
83,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_141_report.html"" target=""_blank"">141</a>",N13,digital_ok,0.012008733624454149,0.006550218340611353,0.0,0.7269703477173765,0.7164515609853299,0.37913809713127594
