,0
JD,2459902
Date,11-18-2022
LST Range,23.345 -- 9.296 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1849
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 7 dish_ok: 1 RF_maintenance: 52 RF_ok: 19 digital_ok: 98 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,N20
Nodes Not Correlating,N07
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,77 / 201 (38.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,131 / 201 (65.2%)
Redcal Done?,N
Never Flagged Antennas,61 / 201 (30.3%)
A Priori Good Antennas Flagged,"63 / 98 total a priori good antennas: 3, 7, 9, 15, 19, 20, 21, 29, 30, 37, 38, 42, 51, 53, 54, 55, 56, 59, 68, 71, 72, 81, 83, 84, 86, 88, 94, 98, 99, 100, 101, 103, 108, 109, 111, 116, 117, 118, 121, 122, 123, 127, 136, 140, 142, 143, 146, 155, 158, 161, 164, 165, 170, 181, 182, 183, 184, 185, 186, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"26 / 103 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 62, 64, 79, 89, 90, 115, 120, 125, 132, 139, 148, 149, 168, 220, 221, 238, 239, 324, 325, 333"
